impl,trial,launch_to_first_frame_ms,rss_at_5s_mb,rss_at_30s_mb,first_5s_hitch_ms_total,first_5s_hitches
uikit,1,975,76.72,76.02,183.88,5
uikit,2,945,79.13,78.52,179.65,4
uikit,3,851,75.25,74.47,204.86,5
uikit,4,954,78.08,77.27,192.62,6
uikit,5,867,74.08,74.22,187.41,5
swiftui,1,1096,103.03,103.07,710.31,12
swiftui,2,1092,99.60,99.99,684.64,11
swiftui,3,1094,104.05,104.35,725.56,12
swiftui,4,1104,99.52,99.80,762.29,14
swiftui,5,1094,118.91,118.74,672.68,15
